number,floor,single_or_double,faces,area,common_room_access
B05,1,s,S,150,1
B06,1,d,"e,s",215,1
B07,1,s,"e,s",145,1
203A,2,s,n,110,1
203B,2,s,w,110,1
204A,2,s,w,115,1
204B,2,s,w,130,1
206A,2,s,"e,s",140,1
206B,2,s,e,140,1
207,2,s,e,130,1
209A,2,s,x,110,1
209B,2,s,e,105,1
210A,2,s,e,115,1
304,3,d,n,170,0
305,3,s,w,140,0
306,3,s,w,135,0
307,3,s,s,155,0
308,3,s,w,145,0
309A,3,s,w,190,1
309B,3,s,s,115,1
309C,3,s,s,110,1
310,3,s,s,170,0
311,3,s,e,135,0
312,3,s,e,160,0
313,3,d,n,215,0
