number,floor,single_or_double,faces,area,common_room_access
106,1,d,e,240,0
108,1,d,"n,e",230,0
110,1,d,s,250,0
111,1,d,"n,w",210,0
201,2,d,"s,e",300,0
202,2,s,w,170,0
203,2,d,e,180,0
204,2,s,w,110,0
205,2,d,e,190,0
206,2,s,w,130,0
209,2,d,e,360,0
212,2,s,w,150,0
213,2,d,"n,e",230,0
214,2,s,n,100,0
215,2,s,n,100,0
217,2,d,w,210,0
301,3,d,e,200,1
302,3,d,n,280,1
303,3,d,s,440,0
