number,floor,single_or_double,faces,area,common_room_access
201,2,d,e,210,1
202,2,d,e,210,1
203,2,d,s,230,1
204,2,d,s,225,1
205,2,d,w,210,1
301,3,d,n,215,0
302,3,d,n,185,0
303,3,s,e,145,0
304,3,s,e,160,0
305,3,d,e,205,0
306,3,s,s,180,0
307,3,s,s,175,0
308,3,d,s,205,0
309,3,d,w,195,0
310,3,d,w,195,0
311,3,d,n,210,0
