number,floor,single_or_double,faces,area,common_room_access
B1,0,s,w,185,1
B2,0,s,w,145,1
B5,0,s,w,120,1
1,1,d,w,260,1
2,1,s,w,140,1
3,1,s,w,135,1
4A,1,d,w,180,1
4B,1,d,"w,s",160,1
5A,1,d,e,190,1
5B,1,d,"e,s",160,1
6,2,s,"n,w",149,0
7,2,s,"w,s",149,0
8,2,s,s,130,0
9,2,s,s,140,0
10,2,s,"s,e",150,0
11,2,s,"e,n",140,0
12,2,d,n,170,0
13A,2,d,w,200,0
13B,2,d,"w,s",165,0
14A,2,d,e,190,0
14B,2,d,"s,e",160,0
15A,3,s,e,130,1
15B,3,s,e,190,1
15C,3,d,n,145,1
16A,3,s,w,135,1
16B,3,d,w,145,1
